sim,incl_00,incl_10,incl_20,incl_30,incl_40,incl_50,incl_60,incl_70,incl_80,-vac1-ratio-00,-vac1-ratio-10,-vac1-ratio-20,-vac1-ratio-30,-vac1-ratio-40,-vac1-ratio-50,-vac1-ratio-60,-vac1-ratio-70,-vac1-ratio-80
237,0,1,1,1,0,1,1,0,1,0.0,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.0,0.16666666666666666,0.16666666666666666,0.0,0.16666666666666666
238,0,1,1,1,0,1,1,1,0,0.0,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.0,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.0
239,0,1,1,1,0,1,1,1,1,0.0,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.0,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285
240,0,1,1,1,1,0,0,0,0,0.0,0.25,0.25,0.25,0.25,0.0,0.0,0.0,0.0
241,0,1,1,1,1,0,0,0,1,0.0,0.2,0.2,0.2,0.2,0.0,0.0,0.0,0.2
242,0,1,1,1,1,0,0,1,0,0.0,0.2,0.2,0.2,0.2,0.0,0.0,0.2,0.0
243,0,1,1,1,1,0,0,1,1,0.0,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.0,0.0,0.16666666666666666,0.16666666666666666
244,0,1,1,1,1,0,1,0,0,0.0,0.2,0.2,0.2,0.2,0.0,0.2,0.0,0.0
245,0,1,1,1,1,0,1,0,1,0.0,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.0,0.16666666666666666,0.0,0.16666666666666666
246,0,1,1,1,1,0,1,1,0,0.0,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.0,0.16666666666666666,0.16666666666666666,0.0
247,0,1,1,1,1,0,1,1,1,0.0,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.0,0.14285714285714285,0.14285714285714285,0.14285714285714285
248,0,1,1,1,1,1,0,0,0,0.0,0.2,0.2,0.2,0.2,0.2,0.0,0.0,0.0
249,0,1,1,1,1,1,0,0,1,0.0,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.0,0.0,0.16666666666666666
250,0,1,1,1,1,1,0,1,0,0.0,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.0,0.16666666666666666,0.0
251,0,1,1,1,1,1,0,1,1,0.0,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.0,0.14285714285714285,0.14285714285714285
252,0,1,1,1,1,1,1,0,0,0.0,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.0,0.0
253,0,1,1,1,1,1,1,0,1,0.0,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.0,0.14285714285714285
254,0,1,1,1,1,1,1,1,0,0.0,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.0
255,0,1,1,1,1,1,1,1,1,0.0,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
256,1,0,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
257,1,0,0,0,0,0,0,0,1,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5
258,1,0,0,0,0,0,0,1,0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0
259,1,0,0,0,0,0,0,1,1,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333
260,1,0,0,0,0,0,1,0,0,0.5,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0
261,1,0,0,0,0,0,1,0,1,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.3333333333333333
262,1,0,0,0,0,0,1,1,0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,0.0
263,1,0,0,0,0,0,1,1,1,0.25,0.0,0.0,0.0,0.0,0.0,0.25,0.25,0.25
264,1,0,0,0,0,1,0,0,0,0.5,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0
265,1,0,0,0,0,1,0,0,1,0.3333333333333333,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.3333333333333333
266,1,0,0,0,0,1,0,1,0,0.3333333333333333,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.3333333333333333,0.0
267,1,0,0,0,0,1,0,1,1,0.25,0.0,0.0,0.0,0.0,0.25,0.0,0.25,0.25
268,1,0,0,0,0,1,1,0,0,0.3333333333333333,0.0,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,0.0,0.0
269,1,0,0,0,0,1,1,0,1,0.25,0.0,0.0,0.0,0.0,0.25,0.25,0.0,0.25
270,1,0,0,0,0,1,1,1,0,0.25,0.0,0.0,0.0,0.0,0.25,0.25,0.25,0.0
271,1,0,0,0,0,1,1,1,1,0.2,0.0,0.0,0.0,0.0,0.2,0.2,0.2,0.2
272,1,0,0,0,1,0,0,0,0,0.5,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0
273,1,0,0,0,1,0,0,0,1,0.3333333333333333,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.3333333333333333
274,1,0,0,0,1,0,0,1,0,0.3333333333333333,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.3333333333333333,0.0
275,1,0,0,0,1,0,0,1,1,0.25,0.0,0.0,0.0,0.25,0.0,0.0,0.25,0.25
276,1,0,0,0,1,0,1,0,0,0.3333333333333333,0.0,0.0,0.0,0.3333333333333333,0.0,0.3333333333333333,0.0,0.0
277,1,0,0,0,1,0,1,0,1,0.25,0.0,0.0,0.0,0.25,0.0,0.25,0.0,0.25
278,1,0,0,0,1,0,1,1,0,0.25,0.0,0.0,0.0,0.25,0.0,0.25,0.25,0.0
279,1,0,0,0,1,0,1,1,1,0.2,0.0,0.0,0.0,0.2,0.0,0.2,0.2,0.2
280,1,0,0,0,1,1,0,0,0,0.3333333333333333,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0
281,1,0,0,0,1,1,0,0,1,0.25,0.0,0.0,0.0,0.25,0.25,0.0,0.0,0.25
282,1,0,0,0,1,1,0,1,0,0.25,0.0,0.0,0.0,0.25,0.25,0.0,0.25,0.0
283,1,0,0,0,1,1,0,1,1,0.2,0.0,0.0,0.0,0.2,0.2,0.0,0.2,0.2
284,1,0,0,0,1,1,1,0,0,0.25,0.0,0.0,0.0,0.25,0.25,0.25,0.0,0.0
285,1,0,0,0,1,1,1,0,1,0.2,0.0,0.0,0.0,0.2,0.2,0.2,0.0,0.2
286,1,0,0,0,1,1,1,1,0,0.2,0.0,0.0,0.0,0.2,0.2,0.2,0.2,0.0
287,1,0,0,0,1,1,1,1,1,0.16666666666666666,0.0,0.0,0.0,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666
288,1,0,0,1,0,0,0,0,0,0.5,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0
289,1,0,0,1,0,0,0,0,1,0.3333333333333333,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.3333333333333333
290,1,0,0,1,0,0,0,1,0,0.3333333333333333,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.3333333333333333,0.0
291,1,0,0,1,0,0,0,1,1,0.25,0.0,0.0,0.25,0.0,0.0,0.0,0.25,0.25
